Table 1 
Optical Afterglow Photometry Log of GRB 090426


$T-T0$ (mid, hr)	Exposure (s)	Mag	sigma	Filter	Telescope	
0.505	180.00	17.782	0.021	SDSS-g	LOT	
0.697	180.00	17.859	0.020	SDSS-g	LOT	
0.893	180.00	17.913	0.021	SDSS-g	LOT	
1.089	180.00	18.031	0.021	SDSS-g	LOT	
1.350	180.00	18.139	0.018	SDSS-g	LOT	
1.647	180.00	18.278	0.017	SDSS-g	LOT	
1.946	180.00	18.369	0.017	SDSS-g	LOT	
2.239	180.00	18.453	0.019	SDSS-g	LOT	
2.538	180.00	18.557	0.018	SDSS-g	LOT	
2.834	180.00	18.650	0.018	SDSS-g	LOT	
3.134	180.00	18.740	0.018	SDSS-g	LOT	
3.481	180.00	18.808	0.021	SDSS-g	LOT	
3.779	180.00	18.880	0.021	SDSS-g	LOT	
4.079	180.00	18.973	0.020	SDSS-g	LOT	
4.375	180.00	19.055	0.019	SDSS-g	LOT	
4.671	180.00	19.086	0.021	SDSS-g	LOT	
4.968	180.00	19.132	0.020	SDSS-g	LOT	
5.266	180.00	19.171	0.024	SDSS-g	LOT	
0.376	180.00	17.381	0.019	SDSS-r	LOT	
0.569	180.00	17.450	0.018	SDSS-r	LOT	
0.763	180.00	17.509	0.019	SDSS-r	LOT	
0.958	180.00	17.624	0.020	SDSS-r	LOT	
1.153	180.00	17.701	0.021	SDSS-r	LOT	
1.414	180.00	17.787	0.017	SDSS-r	LOT	
1.713	180.00	17.938	0.018	SDSS-r	LOT	
2.011	180.00	18.024	0.018	SDSS-r	LOT	
2.306	180.00	18.126	0.019	SDSS-r	LOT	
2.601	180.00	18.206	0.020	SDSS-r	LOT	
2.899	180.00	18.270	0.019	SDSS-r	LOT	
3.199	180.00	18.332	0.022	SDSS-r	LOT	
3.547	180.00	18.430	0.019	SDSS-r	LOT	
3.845	180.00	18.495	0.020	SDSS-r	LOT	
4.144	180.00	18.562	0.021	SDSS-r	LOT	
4.439	180.00	18.643	0.023	SDSS-r	LOT	
4.734	180.00	18.684	0.024	SDSS-r	LOT	
5.032	180.00	18.816	0.026	SDSS-r	LOT	
5.332	180.00	18.802	0.025	SDSS-r	LOT	
0.439	180.00	17.173	0.025	SDSS-i	LOT	
0.634	180.00	17.301	0.023	SDSS-i	LOT	
0.827	180.00	17.341	0.025	SDSS-i	LOT	
1.023	180.00	17.523	0.027	SDSS-i	LOT	
1.216	180.00	17.555	0.028	SDSS-i	LOT	
1.479	180.00	17.667	0.021	SDSS-i	LOT	
1.778	180.00	17.786	0.021	SDSS-i	LOT	
2.074	180.00	17.868	0.023	SDSS-i	LOT	
2.371	180.00	17.963	0.024	SDSS-i	LOT	
2.663	180.00	18.011	0.023	SDSS-i	LOT	
2.965	180.00	18.134	0.027	SDSS-i	LOT	
3.263	180.00	18.192	0.028	SDSS-i	LOT	
3.610	180.00	18.247	0.024	SDSS-i	LOT	
3.908	180.00	18.371	0.026	SDSS-i	LOT	
4.208	180.00	18.446	0.026	SDSS-i	LOT	
4.504	180.00	18.396	0.029	SDSS-i	LOT	
4.798	180.00	18.512	0.028	SDSS-i	LOT	
5.097	180.00	18.549	0.029	SDSS-i	LOT	
5.396	180.00	18.636	0.034	SDSS-i	LOT	
1.565	300.00	17.457	0.030	SDSS-z	LOT	
1.863	300.00	17.589	0.028	SDSS-z	LOT	
2.157	300.00	17.570	0.029	SDSS-z	LOT	
2.456	300.00	17.763	0.031	SDSS-z	LOT	
2.749	300.00	17.858	0.033	SDSS-z	LOT	
3.050	300.00	17.937	0.034	SDSS-z	LOT	
3.348	300.00	17.969	0.039	SDSS-z	LOT	
3.695	300.00	18.057	0.045	SDSS-z	LOT	
3.995	300.00	18.250	0.042	SDSS-z	LOT	
4.294	300.00	18.237	0.040	SDSS-z	LOT	
4.587	300.00	18.458	0.044	SDSS-z	LOT	
4.883	300.00	18.356	0.040	SDSS-z	LOT	
5.182	300.00	18.462	0.046	SDSS-z	LOT	
5.483	300.00	18.469	0.044	SDSS-z	LOT	
19.5149	29.5	18.595	0.030	J	CFHT	
19.6680	29.5	18.675	0.028	J	CFHT	
19.7438	29.5	18.642	0.025	J	CFHT	
19.8216	29.5	18.654	0.028	J	CFHT	
19.9781	29.5	18.674	0.027	J	CFHT	
20.0539	29.5	18.692	0.027	J	CFHT	
20.2066	29.5	18.692	0.029	J	CFHT	
20.2834	29.5	18.670	0.029	J	CFHT	
20.3609	29.5	18.659	0.026	J	CFHT	
20.5133	29.5	18.724	0.025	J	CFHT	
20.5908	29.5	18.741	0.025	J	CFHT	
20.7425	29.5	18.814	0.029	J	CFHT	
20.8010	29.5	17.213	0.029	K	CFHT	
20.8582	29.5	17.223	0.026	K	CFHT	
20.9136	29.5	17.250	0.027	K	CFHT	
20.9707	29.5	17.212	0.028	K	CFHT	
21.0262	29.5	17.265	0.026	K	CFHT	
21.0804	29.5	17.265	0.025	K	CFHT	
21.1378	29.5	17.257	0.024	K	CFHT	
21.1934	29.5	17.272	0.026	K	CFHT	
21.2489	29.5	17.280	0.025	K	CFHT	
21.3046	29.5	17.298	0.024	K	CFHT	
21.3614	29.5	17.229	0.024	K	CFHT	
21.4169	29.5	17.295	0.026	K	CFHT	
21.4730	29.5	17.260	0.027	K	CFHT	
21.5304	29.5	17.271	0.025	K	CFHT	
21.6986	29.5	17.306	0.024	K	CFHT	
21.7541	29.5	17.270	0.024	K	CFHT	
21.8110	29.5	17.278	0.023	K	CFHT	
21.8662	29.5	17.328	0.025	K	CFHT	
Note. The reference time T_0 is Swift BAT burst trigger time. "T - T0" is the middle time in hours for each data point. "Exposure" is the exposure time for each data in seconds. All data are not corrected for the Galactic extinction (which is ${E}_{B-V}=0.03$, Schlegel et al. 1998). B-band data is calibrated by USNO B1.0 B2 mag with 2 stars. Other data are calibrated by SDSS reference stars. The magnitudes in SDSS filters are in AB magnitude system, and others are in the Vega magnitude system.
