GRB,SNe,"E$_{\gamma,  iso}$ ergs",New,e$_p$ keV,z,T$_{90}}$ sec,e$_k$ erg,M$_{Ni}$ M$_\odot$,M$_{ej}$ M$_\odot$,event Type,Refs.
150518A,,,0.00,,0.256,,,,,Photometric SN,\cite{2017AdAst2017e...5C}
150818A,,1.00E+51,0.10,128,0.282,123.3,,,,Photometric SN,\cite{2017AdAst2017e...5C}
161219B,2016jca,1.60E+50,0.02,,0.1475,7,4E+52,0.27,6.5,Spectroscopic SN,\cite{2019MNRAS.487.5824A}
171010A,2017htp,2.00E+53,20.00,230,0.33,160,8.1E+51,0.33,4.1,Spectroscopic SN,\cite{2019MNRAS.490.5366M}
171205A,2017iuk,6.60E+49,0.01,,0.037,189.4,"1.40e+51, 9.00e+50",,1.1,Spectroscopic SN,\cite{2018ApJ...867..147W}
180728A,2018fip,,0.00,,,,,,,Spectroscopic SN,
190114C,2019jrj,3.00E+53,30.00,,0.4245,"361.5, 362",,,,Spectroscopic SN,\cite{2021arXiv211204759M}
190829A,AT2019oyw,,,,0.0785,58.2,1.36E+52,0.5,5.67,Spectroscopic SN,\cite{2021A&A...646A..50H}
,2020bvc,,,,0.0252,,7.1E+51,0.13,2.2,Spectroscopic SN,"\cite{2020A&A...639L..11I},  \cite{2020ApJ...902...86H}"
200826A,,,,,0.71,0.65,6E+52,,,Photometric SN,\cite{2021NatAs.tmp..142A}
201015A,,,,,,,,,,Photometric SN,
211023A,,,,,,,,,,Photometric SN,
220219B,,,,,,,,,,Photometric SN,
